 DÉCADA 1990-1999,,,,,,,,
,,RESPONSABILIDAD DE PRODUCCIÓN,,,,,,
MXIM-AV-1-11-108,Mi Multi es mi Multi. Historia oral del Multifamiliar Miguel Alemán (1949-1999),Instituto Mora-CONACyT,,"Carlos Hernández,  Paris García",,http://www.mora.edu.mx/Investigacion/Principal/laboratorio.html,Producción propia del LAIS,1999
MXIM-AV-1-11-109,Montoneros: Una historia,Fundación Simon Rodriguez,,Andres Di Tella,,,,
MXIM-AV-1-11-110,Mother Dao The turtlelike,"NPS-TV P.O.Box 444, 1200 JJ Hilversum THE NETHERLANDS", ,Rade Milicevic,,,Donación,2001
MXIM-AV-1-11-111,Museo Nacional de Culturas Populares a la luz de nuestra diversidad,CONACULTA/Museo Nacional de Culturas Populares,,Ricardo Sánchez Hernández,"CONACULTA: El Consejo Nacional para la Cultura y las Artes responde a la necesidad de contar con un órgano rector que dé coherencia a una política pública históricamente desarrollada en el país por una gran multiplicidad de organismos y dependencias de muy distintos sectores y de la más diversa naturaleza institucional. Entre ellas, las unidades administrativas de la anterior Subsecretaría de Cultura de la Secretaría de Educación Pública, inmediato antecedente del Consejo; las diferentes instituciones y dependencias de otras secretarías que por sus funciones de carácter cultural han sido transferidas en distintos momentos; y, finalmente, las entidades adscritas al área de Cultura, varias de larga tradición. En  atención a las exigencias y requerimientos de orden cultural de la sociedad mexicana, a partir de la creación del Consejo Nacional para la Cultura y las Artes se da origen a diversos programas y acciones, con el propósito fundamental de enriquecer la identidad cultural de los mexicanos. La misión fundamental del Consejo es integrar y coordinar de manera armoniosa la labor de los organismos, dependencias e instituciones del gobierno que desarrollan la política cultural del Estado Mexicano. (Extraído de: http://www.conaculta.gob.mx/consejo_quienes.html). MUSEO NACIONAL DE CULTURAS POPULARES: Fundado en 1982 por el maestro Guillermo Bonfil Batalla, el Museo Nacional de Culturas Populares es un espacio donde se documentan, estudian, preservan, difunden y promueven en forma sistemática las diversas manifestaciones de la cultura popular e indígena, a partir de una propuesta museográfica. Es un museo vivo en el que se estimula la participación activa de los creadores de estas expresiones, provenientes de todos los ámbitos del país. Realiza exposiciones temporales de pequeño, mediano y gran formato, en las que se muestran las diferentes manifestaciones culturales de México con las cuales se busca su preservación, conocimiento y difusión. Paralelamente investiga, conserva y difunde las tradiciones y las nuevas manifestaciones de la cultura popular con la organización de eventos relacionados con ella y con el calendario festivo tradicional. Desarrolla actividades didácticas y eventos acordes con la temática de las exposiciones, organiza talleres, cursos y seminarios a nivel técnico en el ámbito de las culturas populares. (Extraído de http://www.culturaspopulareseindigenas.gob.mx/museo.html)",,,
MXIM-AV-1-11-112,Díaz Ordaz y el 68,Editorial Clío,,Diana Roldán,,,,
MXIM-AV-1-11-113,"No me parezco a nadie, La vida de Pedro Infante",Editorial Clío,,Diana Roldán,,,,
MXIM-AV-1-11-114,Altos hornos Zapla,"Banco Mundial, Instituto por la Calidad en la Gestión",,,,,,
MXIM-AV-1-11-115,O Velho Capoerista. Mestre Joao Pequeño de Pastinha,GRIFO Comunicaçao,,,,"Pedro Abib Licenciado en Educación por la Universidad Federal da Bahía (UFBA) y doctorado en Ciencias Sociales aplicadas a la Educación por la Universidad Estadual de Campinas (UNICAMP), Pedro Abib trabaja actualmente como profesor adjunto en la Facultad de Educación de la UFBA. Es documentalista y también investigador de la CAPES. Ha dirigido O Velho Capoeirista: Mestre João Pequeno de Pastinha, documental sobre el maestro más viejo de Capoeira Angola en activo en Brasil, que ganó el premio del mejor documental en el Festival de Artes de la UNICAMP 2002. También ha dirigido el vídeo Fome de Que?, sobre la huelga de hambre de los profesores de las Universidades Federales brasileñas en 1998.(http://www.fcat.es/wiki/index.php/Pedro_Abib)",Donación,2001
MXIM-AV-1-11-116,Otomíes del Valle del Mezquital,Instituto Nacional Indigenista (INI)-Archivo Etnográfico Audiovisual,,"Alfonso Muñoz J., César Ramírez Morales","CDI (antes INI): La Comisión Nacional para el Desarrollo de los Pueblos Indígenas, es un organismo descentralizado de la Administración Pública Federal, no sectorizado, con personalidad jurídica, con patrimonio propio, con autonomía operativa, técnica, presupuestal y administrativa, con sede en la Ciudad de México, Distrito Federal. La Fototeca Nacho López tiene sus antecedentes en lo que se denominó, por más de 20 años Archivo Etnográfico Audiovisual del INI. En 1977 el Instituto Nacional Indigenista estableció formalmente, como parte de sus políticas, un área especializada en el registro audiovisual de los diferentes aspectos culturales, económicos y sociales de la población indígena a través de lo que denominó Archivo Etnográfico Audiovisual. La finalidad de éste fue apoyar actividades de investigación antropológica, dedicadas a la difusión de la cultura e identidad de las comunidades indígenas.Una vez constituido el aea, el INI, en coordinación con el Fondo Nacional para las Actividades Sociales (Fonapas), decidieron llevar a cabo en 1977 el proyecto Ollin Yoliztli, el cual fue uno de los primeros proyectos en el país que tuvo como objetivo rescatar el patrimonio cultural de los pueblos indígenas de México a través de la fotografía, el registro fílmico y el sonoro. Las primeras filmaciones se realizaron en 35 y 16 mm, y a partir de 1990 la producción se lleva a cabo en video.A partir de 2002 el Acervo lleva el nombre del antropólogo Alfonso Muñoz Jiménez, quien fuera realizador de diversos materiales fílmicos y de video del INI y del Instituto Nacional de Antropología e Historia, así como fundador, en 1977, con Nacho López y Óscar Menéndez, del Archivo Etnográfico Audiovisual del INI. También ocupó el cargo de Subdirector de Imagen y Sonido de ese Instituto. Los acervos están divididos en seis fondos: de Producciones Editadas, de Preservación, de Material de Stock, de Copias de Exhibición, de Submaster y Documental. Los materiales de la cineteca y videoteca fueron producidos de 1951 a 2001 y se preservan 7864 cintas. A continuación se presenta el total de cintas por fondo y los años de los que se localiza información. (Extraído de http://www.conadepi.gob.mx) ",,,
MXIM-AV-1-11-117,Paixao e Guerra no Sertao de Canudos,"Universidade do Estado da Bahia (UNEB), Ministério da Cultura (MinC), Fundo Nacional da Cultura, Portfolium Laboratorio de Imagens", ,"Ricardo Gaspar, Selma Santos",,,Donación,2001
MXIM-AV-1-11-118,Palacios en peligro. Las salas cinematográficas de la Ciudad de México,Universidad Autónoma Metropolitana (UAM)-Unidad Xochimilco,,Victor Carrillo Caloca,,,,
MXIM-AV-1-11-119,Palestina do norte o araguaia passa por aqui,"Universidade do Estado da Bahia (UNEB), Ministério da Cultura (MinC)-Fundo Nacional da Cultura, Portfolium Laboratorio de Imagens", ,"Ricardo Gaspar, Selma Santos",,,Donación,2001
MXIM-AV-1-11-120,Photo Wallahs,Oxnard Film Productions,,Judith y David MacDougall,,,,
MXIM-AV-1-11-121,"Polifonias. Paci é saluta, Michel Giacometti","Costa do Castelo Filmes, Image Creation, Instituto Portugués da Arte Cinematográfica e Audiovisual (IPACA), Les Films du Village, Radio Televisao Portuguesa (RTP)",,Productor ejecutivo: Paulo Trancoso,,,,
MXIM-AV-1-11-122,Por esos ojos,"France 2-Point du joir (Tele Europe), TV Ciudad (Montevideo)",,"Producción ejecutiva: Ivonne Dessent, Emmanuelle Fage",,,,
MXIM-AV-1-11-123,"Porfirio Díaz, Místico de la autoridad",Editorial Clío,,Diana Roldán,,,,
MXIM-AV-1-11-124,Portraits d´Alain Cavalier (2a parte),"Camera One, Douce, La SEPT, CNC, Ministére des Affaires Etrangeres",,Isabel Pons,,,,
MXIM-AV-1-11-125,Preservación de colecciones fotográficas patrimoniales,"Andrew Melon Foundation, Centro Nacional del Patrimonio Fotográfico, Biblioteca Nacional, DIBAM",,Janet Ulloa Martínez,,,Donación,2005
MXIM-AV-1-11-126,Prigionieri della Guerra,"Museo Storico Trento, Museo Storico della Guerra, Rovereto", , ,,,Donación,2004
MXIM-AV-1-11-127,"Puerto de ritmos, festival afrocaribeño. Veracruz '94","CONACULTA, Gobierno del Estado de Veracruz, SEP, Dirección General de Culturas Populares, Instituto Veracruzano de Cultura, Unidad de producciones audiovisuales",,Ángel Aguirre,"CONACULTA: El Consejo Nacional para la Cultura y las Artes responde a la necesidad de contar con un órgano rector que dé coherencia a una política pública históricamente desarrollada en el país por una gran multiplicidad de organismos y dependencias de muy distintos sectores y de la más diversa naturaleza institucional. Entre ellas, las unidades administrativas de la anterior Subsecretaría de Cultura de la Secretaría de Educación Pública, inmediato antecedente del Consejo; las diferentes instituciones y dependencias de otras secretarías que por sus funciones de carácter cultural han sido transferidas en distintos momentos; y, finalmente, las entidades adscritas al área de Cultura, varias de larga tradición. En  atención a las exigencias y requerimientos de orden cultural de la sociedad mexicana, a partir de la creación del Consejo Nacional para la Cultura y las Artes se da origen a diversos programas y acciones, con el propósito fundamental de enriquecer la identidad cultural de los mexicanos. La misión fundamental del Consejo es integrar y coordinar de manera armoniosa la labor de los organismos, dependencias e instituciones del gobierno que desarrollan la política cultural del Estado Mexicano. (Extraído de: http://www.conaculta.gob.mx/consejo_quienes.html) DGCPI: Desde 1989, Culturas Populares e Indígenas ha impulsado el programa de apoyo a las culturas Municipales y Comunitarias -PACMYC- con el cual se han podido financiar más de 7 mil proyectos en todo el país. Como una alternativa para contribuir en la valoración y el reconocimiento de la expresión artística y artesanal; así como en el desarrollo sociocultural de los pueblos la DGCPI creó el Programa de Arte Popular y el Programa de Escuelas Itinerantes de Diseño Artesanal, las cuales ya operan en Tlaxcala y Oaxaca. En el ámbito indígena y como respuesta a las demandas culturales de los grupos asentados en ciudades, zonas conurbadas, campos agrícolas, centros turísticos e industriales del país y el extranjero, la DGCPI cuenta ya con un Programa de apoyo a las Culturas Indígenas Migrantes. Dentro de su trabajo en beneficio de la cultura popular, la DGCPI colabora en la difusión de un sin número de actividades que con este fin realizan instituciones públicas y privadas del DF y de los distintos estados de la República Mexicana. También promueve y organiza, por medio de sus Unidades Regionales: programas de capacitación a Promotores culturales, reuniones, encuentros y Festivales de cultura popular e indígena. (http://www.culturaspopulareseindigenas.gob.mx/programas.html)",,,
MXIM-AV-1-11-128,Querido Diario,,,Sarah Minter,,,,
MXIM-AV-1-11-129,"Radio II, la vida íntima de la radio",Editorial Clío,,Diana Roldán,,,,
MXIM-AV-1-11-130,Rá'mui rä ñähñu: Ya ny'ot eya nt'ohni/Rathoni tho'tsi ra ñähñu/Ra m'ui ya ma'yo,SEP-CONACyT/CIESAS/Academia de la Cultura Hñähñu,,,"CONACYT: El Consejo Nacional de Ciencia y Tecnología fue creado por disposición del H. Congreso de la Unión el 29 de diciembre de 1970, como un organismo público descentralizado de la Administración Pública Federal, integrante del Sector Educativo, con personalidad jurídica y patrimonio propio. También es responsable de elaborar las políticas de ciencia y tecnología en México. Desde su creación hasta 1999 se presentaron dos reformas y una ley para coordinar y promover el desarrollo científico y tecnológico y el 5 de junio del 2002 se promulgó una nueva Ley de Ciencia y Tecnología. (http://www.conacyt.mx/Acerca/Acerca_Introduccion.html) CIESAS: La investigación en el CIESAS El Centro de Investigaciones y Estudios Superiores en Antropología Social (CIESAS) es una institución pública federal que forma parte, junto con otros 27 Centros Públicos de Investigación, del Sistema de Centros CONACYT. El CIESAS se dedica al estudio de los problemas nacionales a través de la investigación y la formación de especialistas de alto nivel en los campos de la antropología social, la historia, la etnohistoria, la lingüística y otras ciencias sociales, con presencia nacional y arraigo regional. Actualmente el CIESAS cuenta con sedes y programas de investigación y docencia en siete ciudades del país: Sede Distrito Federal (Ciudad de México), Sede Golfo (Xalapa, Veracruz), Sede Occidente (Guadalajara, Jalisco), Sede Pacífico Sur (Oaxaca, Oaxaca), Sede Sureste (San Cristóbal de Las Casas, Chiapas), Programa Noreste (Monterrey, Nuevo León) y Programa Peninsular (Mérida, Yucatán). De esta forma, el CIESAS ratifica su vocación de ser una institución de carácter tanto regional como nacional que le ha permitido incidir en el desarrollo de las ciencias sociales en diversos estados de la República, realizar investigaciones con enfoque regional, impartir programas de enseñanza especializados y colaborar tanto con instituciones académicas internacionales como nacionales y estatales. A 33 años de su fundación, el CIESAS ha alcanzado un liderazgo en las disciplinas que cultiva; cuenta con un alto reconocimiento externo, producto de la combinación de investigación básica, aplicada y participativa, y con la reciente incursión exitosa en la crítica y evaluación de políticas públicas.(http://www.ciesas.edu.mx/) ",,,
MXIM-AV-1-11-131,100 Years Greenland on Film,"Institut für den Wissenschaftlichen Film, Göttingen (IWF)", ,"Beate Engelbrecht (Institut für den Wissenschaftlichen Film, Göttingen IWF)", ,,Donación,2000
MXIM-AV-1-11-132,Ruben Jaramillo 1900-1962 una historia mexicana,Cooperativa Salvador Toscano : Federación Mexicana de Sociedades Cooperativas de Cine y Medios Audiovisuales,"Editorial La Rana del Sur, ",Oscar Menéndez,,"Oscar Menendez, director, productor, escritor y editor",Compra,2008
MXIM-AV-1-11-133,Sáname con tu poder. Medicina tradicional mixe,Instituto Nacional Indigenista (INI),,Alfonso Muñoz Jiménez,"CDI (antes INI): La Comisión Nacional para el Desarrollo de los Pueblos Indígenas, es un organismo descentralizado de la Administración Pública Federal, no sectorizado, con personalidad jurídica, con patrimonio propio, con autonomía operativa, técnica, presupuestal y administrativa, con sede en la Ciudad de México, Distrito Federal. La Fototeca Nacho López tiene sus antecedentes en lo que se denominó, por más de 20 años Archivo Etnográfico Audiovisual del INI. En 1977 el Instituto Nacional Indigenista estableció formalmente, como parte de sus políticas, un área especializada en el registro audiovisual de los diferentes aspectos culturales, económicos y sociales de la población indígena a través de lo que denominó Archivo Etnográfico Audiovisual. La finalidad de éste fue apoyar actividades de investigación antropológica, dedicadas a la difusión de la cultura e identidad de las comunidades indígenas.Una vez constituido el aea, el INI, en coordinación con el Fondo Nacional para las Actividades Sociales (Fonapas), decidieron llevar a cabo en 1977 el proyecto Ollin Yoliztli, el cual fue uno de los primeros proyectos en el país que tuvo como objetivo rescatar el patrimonio cultural de los pueblos indígenas de México a través de la fotografía, el registro fílmico y el sonoro. Las primeras filmaciones se realizaron en 35 y 16 mm, y a partir de 1990 la producción se lleva a cabo en video.A partir de 2002 el Acervo lleva el nombre del antropólogo Alfonso Muñoz Jiménez, quien fuera realizador de diversos materiales fílmicos y de video del INI y del Instituto Nacional de Antropología e Historia, así como fundador, en 1977, con Nacho López y Óscar Menéndez, del Archivo Etnográfico Audiovisual del INI. También ocupó el cargo de Subdirector de Imagen y Sonido de ese Instituto. Los acervos están divididos en seis fondos: de Producciones Editadas, de Preservación, de Material de Stock, de Copias de Exhibición, de Submaster y Documental. Los materiales de la cineteca y videoteca fueron producidos de 1951 a 2001 y se preservan 7864 cintas. A continuación se presenta el total de cintas por fondo y los años de los que se localiza información. (Extraído de http://www.conadepi.gob.mx) ",,,
MXIM-AV-1-11-134,Los teatros del pueblo,Editorial Clío,,Diana Roldán,,,,
MXIM-AV-1-11-135,"Semana Santa in Patamban. Purhépecha, Michoacán, Mexiko",Institut für den Wissenschaftlichen Film,,,Una de las instituciones más importantes en la producción y distribución de cine científico para investigación y enseñanza superior. Su catálogo cuenta con 5000 títulos producidos por el Institut y 1800 títulos de otros productores que cubren todas las áreas de conocimiento. Sus fondos están disponibles en préstamo y en venta. (http://www.ub.es/geocrit/arac-43.htm),,,
MXIM-AV-1-11-136,Shan Dany,"Centro de video Indígena, Oaxaca (INI) Comunicación Indígena S.C.",,,Regional. Facilita el acceso a equipos de producción y post- postproducción para comunicadores indígenas en el estado de Oaxaca. Desarrolla talleres y capacitación profesional para realizadores indígenas. Apoya la producción audiovisual comunitaria en las comunidades indígenas del estado. Apoyado por la Comisión Nacional para el Desarrollo de los Pueblos Indígenas de México. (http://www.cdi.gob.mx/index.php?id_seccion=111),,,
MXIM-AV-1-11-137,"Tato Bores, actor comico de la nación, capitulo 1","FRIAS-DESPLATS, CEPRO (Centro De Producción Facultad De Ciencias Sociales Universidad De Buenos Aires)",,"Sergio Frías, Gustavo Desplats",,,,
MXIM-AV-1-11-138,The first 100 years,"Home Box Office, The American Film Institute, Silver Pictures, Turner Classic Movies (TCM)",,"Chuck Workman, Joseph Lee", ,"Chuck Workman es un documentalista de Filadelfia, Pensilvania, EE.UU. Su película de 1986 Precious Imágenes ganó un Oscar por acción en vivo de Cortometrajes; su obra también ha sido nominado para los Premios Emmy, Sundance Film Festival de premios, y el Taos Talking Festival de Cine de premios. Workman frecuentemente crea los montajes visto en la televisión Premio de la Academia muestra. Él a veces se acreditan como Carl Workman. (http://translate.google.com.mx/translate?hl=es&sl=en&u=http://en.wikipedia.org/wiki/Chuck_Workman&sa=X&oi=translate&resnum=6&ct=result&prev=/search%3Fq%3DChuck%2BWorkman%26hl%3Des%26client%3Dfirefox-a%26channel%3Ds%26rls%3Dorg.mozilla:es-ES:official%26sa%3DG)",Donación,2000
MXIM-AV-1-11-139,The Forbidden Quest,Ariel Film Produkties,,"Suzanne Van Voorst, Frank Janse",,"Peter Delpeut nació en Vianen, Alemania, 1956. Estudió filosofía y teoría del cine, entonces matriculados en el holandés de Cine y TV Academia entre 1980 e 1984, período durante el cual escribió comentarios del cine y la televisión. A partir de 1988-1995 organizó programas para el Museo de Cine de los Países Bajos, donde también es director. Emma Zunz (1984), su primer cortometraje, recibió la mención especial del jurado en el Kurzfilmfestival en Berlín y, en el mismo año, ganó un premio especial en Amsterdan. En 1992 Forbidden Quest ganando premios como el Festival de Cine de Mannheim y el Festival de Cine de Oporto. En 1998, su película  Felice Felice abrió el 27 Festival de Rotterdam. También ha publicado dos colecciones de ensayos y una novela en los últimos tres años. (http://translate.google.com.mx/translate?hl=es&sl=en&u=http://www2.uol.com.br/mostra/23/english/filmes/148.htm&sa=X&oi=translate&resnum=3&ct=result&prev=/search%3Fq%3DPeter%2BDelpeut%2B%26hl%3Des%26client%3Dfirefox-a%26rls%3Dorg.mozilla:es-ES:official%26sa%3DG)",Donación,
MXIM-AV-1-11-140,The Great Empire Rome,History Channel,,,,,,
MXIM-AV-1-11-141,The Lumière Brothers´First Films,"Kino Internacional, The Lumière Brother´s Association",,,,,,
MXIM-AV-1-11-142,The maya,Instituto Nacional de Antropología e Historia-Antiguo Colegio de San Ildefonso-Coordinación nacional de Museos y Exposiciones,,"Héctor Tajonar, Mario Mar, Sara Elías Calles","INAH: El Instituto Nacional de Antropología e Historia es el organismo del gobierno federal fundado en 1939 para garantizar la investigación, conservación, protección y difusión del patrimonio prehistórico, arqueológico, antropológico, histórico y paleontológico de México. Su creación ha sido fundamental para preservar el patrimonio cultural mexicano. Actualmente el INAH realiza sus funciones a través de una estructura que se compone de una Secretaría Técnica, responsable de supervisar la realización de sus labores sustantivas, cuyas tareas se llevan a cabo por medio de las 7 Coordinaciones Nacionales y los 31 Centros regionales distribuidos en los estados de la República.Tarea fundamental es la investigación científica, para lo cual colaboran más de 400 académicos en las áreas de historia, antropología social, antropología física, arqueología, lingüística, etnohistoria, etnología, arquitectura, conservación del patrimonio, conservación y restauración. Por otro lado, el INAH integra un conjunto de acervos documentales, entre ellos la Biblioteca de Antropología e Historia, que reúne la mayor colección de publicaciones de carácter histórico y antropológico en México y resguarda fondos documentales y códices de importancia histórica.Las actividades de difusión sobre nuestro patrimonio se realizan no sólo con un vasto programa de publicaciones periódicas, sino también a través de la producción de fonogramas y videogramas, además, de comunicados a los medio de comunicación masiva.(Extraído de: http://www.inah.gob.mx/). ANTIGUO COLEGIO DE SAN ILDEFONSO: El Antiguo Colegio de San Ildefonso es patrimonio universitario. Desde 1992 lo administra un Mandato tripartita integrado por la Universidad Nacional Autónoma de México, el Consejo Nacional para la Cultura y las Artes y el Gobierno del Distrito Federal. Una de sus misiones es propiciar acciones para ser potencialmente productivos, con el fin de incrementar el presupuesto aportado por las instituciones Mandantes. (Extraído de: http://www.sanildefonso.org.mx/frame.php?sec=1)",,,
MXIM-AV-1-11-143,The Nineties. All your kisses are mine,BBC,,Kale Broome,,,Donación,1994
MXIM-AV-1-11-144,The other shore,BBS,,,,,Donación,
MXIM-AV-1-11-145,The social life of small urban spaces,"Municipal Art Society de Nueva York, Street Life Project, Direct Cinema Ltd.", ,"Municipal Art Society de Nueva York, Street Life Project, Direct Cinema Ltd.", ,,,1994
MXIM-AV-1-11-146,The Time Machine,"Hilversum, VPRO",,,,,,
MXIM-AV-1-11-147,Tiempo de zafra,"Instituto Nacional Indigenista (INI), Dirección de investigación y Promoción cultural, Subdirección de Imagen y Sonido",,"Alejandro Orihuela B., Prod. Ejva: José Luis Sagredo E., César Ramírez M.","CDI (antes INI): La Comisión Nacional para el Desarrollo de los Pueblos Indígenas, es un organismo descentralizado de la Administración Pública Federal, no sectorizado, con personalidad jurídica, con patrimonio propio, con autonomía operativa, técnica, presupuestal y administrativa, con sede en la Ciudad de México, Distrito Federal. La Fototeca Nacho López tiene sus antecedentes en lo que se denominó, por más de 20 años Archivo Etnográfico Audiovisual del INI. En 1977 el Instituto Nacional Indigenista estableció formalmente, como parte de sus políticas, un área especializada en el registro audiovisual de los diferentes aspectos culturales, económicos y sociales de la población indígena a través de lo que denominó Archivo Etnográfico Audiovisual. La finalidad de éste fue apoyar actividades de investigación antropológica, dedicadas a la difusión de la cultura e identidad de las comunidades indígenas.Una vez constituido el aea, el INI, en coordinación con el Fondo Nacional para las Actividades Sociales (Fonapas), decidieron llevar a cabo en 1977 el proyecto Ollin Yoliztli, el cual fue uno de los primeros proyectos en el país que tuvo como objetivo rescatar el patrimonio cultural de los pueblos indígenas de México a través de la fotografía, el registro fílmico y el sonoro. Las primeras filmaciones se realizaron en 35 y 16 mm, y a partir de 1990 la producción se lleva a cabo en video.A partir de 2002 el Acervo lleva el nombre del antropólogo Alfonso Muñoz Jiménez, quien fuera realizador de diversos materiales fílmicos y de video del INI y del Instituto Nacional de Antropología e Historia, así como fundador, en 1977, con Nacho López y Óscar Menéndez, del Archivo Etnográfico Audiovisual del INI. También ocupó el cargo de Subdirector de Imagen y Sonido de ese Instituto. Los acervos están divididos en seis fondos: de Producciones Editadas, de Preservación, de Material de Stock, de Copias de Exhibición, de Submaster y Documental. Los materiales de la cineteca y videoteca fueron producidos de 1951 a 2001 y se preservan 7864 cintas. A continuación se presenta el total de cintas por fondo y los años de los que se localiza información. (Extraído de http://www.conadepi.gob.mx) ",,,
MXIM-AV-1-11-148,Todos somos Marcos,Canal 6 de Julio,,"Norma Madrir, Adriana García, Alejandro Maravilla",,,,
MXIM-AV-1-11-149,Tradición o modernidad: reto de una generación,"Instituto Mora, CONACyT",,"Postproducción: Humberto Galarza, Carlos Hernández",,,Producción Propia,1996
MXIM-AV-1-11-150,Un beso a esta tierra,,,Daniel Goldberg. Productor asociado: Steve Littman,,,Compra,17/04/2002
MXIM-AV-1-11-151,Un pueblo en la memoria,"Instituto Mora, CONACyT, Delegación Benito Juárez, CONACULTA, POSTPRODUCCIÓN: Unidad de producciones audiovisuales del CONACULTA",,,,http://www.mora.edu.mx/Investigacion/Principal/laboratorio.html,Producción Propia,1994
MXIM-AV-1-11-152,"Un puente a la esperanza, entrevista con Marcos",Colectivo Perfil Urbano,,,,,,
MXIM-AV-1-11-153,"UNAM, Memoria del caos. La huelga X",Canal 6 de Julio A.C.,,"Nancy Ventura, José Alba, Carlos Mendoza","CANALSEISDEJULIO: Desde 1988 Canalseisdejulio ha producido más de cincuenta documentales acerca de la realidad política, económica y social de México ha dado voz a personas e integrantes de movimientos ignorados en los medios de comunicación comerciales y ha sido una alternativa informativa y de análisis para cientos de miles de mexicanos que no ven reflejados sus problemas, puntos de vista y aspiraciones en los medios de comunicación comerciales. Canalseisdejulio distribuye sus documentales de mano en mano porque la televisión mexicana permanece cerrada a toda expresión contraria a los intereses de la oligarquía que se ha adueñado del poder en México y porque la censura es práctica gubernamental cotidiana. No obstante esta desventaja, millones de mexicanos han contemplado los documentales realizados por este grupo y han sostenido su trabajo que, gracias a ese apoyo directo del espectador, realiza sus documentales con absoluta independencia. (http://www.canalseisdejulio.com/MexicoExistente.swf)",,,
MXIM-AV-1-11-154,"Unión Provisa, una aventura para contarse",Unión de Productores de Vidrio Plano del Estado de México S.A. de C.V.,,,,,,
MXIM-AV-1-11-155,"Viaje al centro de la selva, memorial zapatista (ene-ago 1944)",ARGOS,,"Carlos Payán Velver, epigmenio Ibarra, Hernán Vera. Producción ejecutiva: Marcela Vizzi",,,,
MXIM-AV-1-11-156,"Los ferro, The railway men","Fundación Antorchas, The Rockefeller Foundation, The John D. & Catherine T. Macarthur Foundation",,Fabián Hofman Cema,,,,
MXIM-AV-1-11-157,Acariño galaico de Barro,"Junta de Andalucí Consejería de Cultura, Filmoteca de Andalucía",Rafael R. Tranche,,," Rafael R. Tranche: Licenciado en Ciencias de la Información y Premio Extraordinario de licenciatura. - Doctor en Comunicación Audiovisual (UCM).  Director de la Investigación sobre la obra de José Val del Omar (1991-1996), financiada por la Consejería de Cultura de la Junta de Andalucía), consistente en la recuperación, restauración y estudio de sus películas, técnicas y procedimientos de trabajo. Más sobre él: http://www.ucm.es/cavp1/prof-dr-rafael-rodriguez-tranche",,
MXIM-AV-1-11-158,Senhora aparecida,"Radiotelevisao Portuguesa, SP Filmes, Instituto Portugues de Cinema",Productor ejecutivo: Pedro Correia Martins,,,,Donación de Catarina Alves Costa,1/09/2012
MXIM-AV-1-11-159,Ignacio Retes. Caminante del teatro,"INBA, UNAM, Centro  Nacional de Investigación  Teatral Rodolfo Usigli (CITRU), ",,Eugenio Cobo,,,,
MXIM-AV-1-11-160,"Un archivo fotográfico, discurso de la imagen","Luz 15, imagen y sonido",,,,,Donación ,1/06/2013
MXIM-AV-1-11-161, El verdadero Porfirio Díaz,"Cine Film S.A., Cooperativa Salvador Toscano",,Juan Ramón Aupart,,,,
MXIM-AV-1-11-162,Villista de hueso colorado,"Cine Film S.A., Cooperativa Salvador Toscano",,Juan Ramón Aupart,,,,
MXIM-AV-1-11-163,Seki Sano. Vida y teatro,"CONACULTA, INBA,  Centro  Nacional de Investigación  Teatral Rodolfo Usigli (CITRU), Canal 28 de Monterrey",,,,,,
MXIM-AV-1-11-164,Danzón dedicado al teatro mexicano,"INBA, CENART, CITRU, ",,Producción: Eugenio Cobo. Producción ejecutiva: Raquel Araujo.,,,,
MXIM-AV-1-11-165,Guerras e imágenes,"Sistema Nacional para la Producción de Televisión cultural, FONCA, Televición Metropolitana, S.A. De C.V. (Canal 22), Red Nacional de Televisoras Estatales, A.C.",,"Gregorio Rocha, Aztli Cine-Video",,,,
MXIM-AV-1-11-166,Gringo: Estados Unidos retrata a su vecino mientras lo invade,"Sistema Nacional para la Producción de Televisión cultural, FONCA, Televición Metropolitana, S.A. De C.V. (Canal 22), Red Nacional de Televisoras Estatales, A.C.",,"Gregorio Rocha, Aztli Cine-Video",,,,
MXIM-AV-1-11-167,Greaser: La Revolución Mexicana y la industria de las imágenes,"Sistema Nacional para la Producción de Televisión cultural, FONCA, Televición Metropolitana, S.A. De C.V. (Canal 22), Red Nacional de Televisoras Estatales, A.C.",,"Gregorio Rocha, Aztli Cine-Video",,,,
MXIM-AV-1-11-168,Amigo (los vecinos se convierten en aliados),"Sistema Nacional para la Producción de Televisión cultural, FONCA, Televición Metropolitana, S.A. De C.V. (Canal 22), Red Nacional de Televisoras Estatales, A.C.",,"Gregorio Rocha, Aztli Cine-Video",,,,
MXIM-AV-1-11-169,Ilegal (la frontera como juego de guerra),"Sistema Nacional para la Producción de Televisión cultural, FONCA, Televición Metropolitana, S.A. De C.V. (Canal 22), Red Nacional de Televisoras Estatales, A.C.",,Gregorio Rocha,,,,
MXIM-AV-1-11-170,a.k.a. Don Bonus,,,"Aram Siu Wai Collier, Emunah Yuka Edinburg. Productores ejecutivos:  Deann Borshay, Janice Sakamoto, James Yee, Wayne Wang",,,,
MXIM-AV-1-11-171,Kelly loves Tony,The national asian american telecommunications association,,Spenccer Nakasako,,,,
MXIM-AV-1-11-172,Mer dare ó Nas vek,,,,,,,
MXIM-AV-1-11-173,Konec,,,,,,,
MXIM-AV-1-11-174,Caravaggio: El tocador del Laud,RM Arts,RM Associates,,,,,
MXIM-AV-1-11-175,Lucas Cranach: Venus and Cupid,RM Arts,RM Associates,,,,,
