"codigo_de_referencia","sinopsis","descriptor_onomastico","descriptor_toponimico","descriptor_cronologico","tipo_de_produccion","genero","fuentes","recursos","versiones","formato_original","material_extra"
"MXIM-AV-1-12-97","Si bien la Revolución de 1910-17, tuvo como detonante la no reelección y el sufragio efectivo, en el fondo estba la lucha por la tierra. Al final de la dictadura de Porfirio Díaz, por un lado, el 1% de la población tenía en su poder el 70% de las tierras laborables y, por otro lado, en la mayoría de los estdos, cerca del 95% de las familias rurales no disponían de tierras laborables. Emiliano Zapata, en su Plan de Ayala, proclamaba \"que los pueblos debían entrar en posesión inmediata de las tierras de las que habían sido ilegalmente despojados, siempre que estuvieran en posibilidades de presentar sus respectivos títulos. Aquellos que tuvieran dificultades para probar sus reclamaciones, recibirán tierras expropiadas a los hacendados, previo pago de una indemnización\". Las tierras de los hacendados que se opusieran a esta medida serían nacionalizadas.","Don Félix Serdán, Hernán Cortés, Moctezuma, Porfirio Díaz (presidente de México, 1876-1910), General Emiliano Zapata (jefe revolucionario), Isaías alanís Tapia (intérprete de corridos), Francisco I. Madero (presidente de México, 1911-193), Don Emeterio Pantaleón, General FRancisco Villa (jefe revolucionario), Venustiano Carranza (presidente d eMéxico, 1917-1920), General Lázaro Cárdenas (presidente de México, 1934-1940), William H. Taft (presidente de EU), Coronel Jesús Guajardo (asesino de Zapata), General Fortino Ayaquica, General Pablo González, Doña Leogarda Juárez, Don Filemón Martín, Rubén Jaramillo (revolucionario y lider campesino), Mónico Rodríguez, José de Molina (cantautor), Pedro Erminio Ceterino, Don Victorino Jiménez, Adolfo López Mateos (presidente de México, 1958-1964), José López Portillo (presidnete de México, 1976-1982), Álvaro Obregón (presidente de México,1920-1924 ), Coronel Délix Garduño Nava, Mateo Zapata (hijo de Emiliano Zapata), Genovevo de la O (revolucionario), General Otilio Montaño, José Narro, Emilio García,","México: Ciudad de México: Plaza de la Constitución, Plaza de las Tres Culturas. Puebla. Morelos: Tlaltizapán (cuartel general de Zapata), Puente de Ixtla, Cuautla.","12 de octubre de 1992 (A 500 años del encuentro de 2 mundos), 28 noviembre 1993 (evento en torno al primer reparto de tierra por Zapata), 28 noviembre 1990 (reunión de excombatientes del Ejército Libertador), 7 de julio de 1911 (entra Madero a la Ciudad de México), 23 mayo 1994 (evento), 23 mayo de 1962 (asesinato de Rubén Jaramillo), 1965 (represión a médicos), 1968 (represión Tlatelolco), 1978 (López Portillo declaró el fin de la repartición de tierras), 1979 (guardias para cuidar los restos de Zapata), 1998 (evento en la plaza de la Constitución)","Documental","histórico","Grabación de campo, Documentales, Registros fílmicos, Fotografías, Pinturas, Testimonios videorales, Documentos","Incidentales, Narración en off, Conducción","","",""
"MXIM-AV-1-12-98","Una toma aérea muestra la sombra de un avión de carga atravesando el Lago Victoria. La toma se alarga y pareciera que el avión va por debajo de la superficie como un gigantesco tiburón. El documental La pesadilla de Darwin del realizadro austriaco Hubert Sauper, muestra como toda una región costera del Lago Victoria ha sido empujada a la esclavitud, hambruna, prostitución y drogadicción por una devastadora rama de la globalización. todo ello aunado al azote de las guerras civiles de los países vecinos y a una feroz pandemia de SIDA alentada por la ignorancia local y la indiferencia internacional. La causa más superficial de etsas circunstancias apocalípticas: la pesca a gran escala intensificada por la presencia de un eficaz depredador: la Perca del Nilo.","Marcus (policía del aereopuerto), Dima (polito de avión de carga), Eliza (amiga de pilotos), Dimond (dueño de fábrica de pescado), Sergey, Dima, Jura, Vladimir, Stanislav (pilotos), Rafael vigilante del Instituto Nacional de Pesca), Msafiri, Franky, Shabani, mustafa, Joseph (niños indigentes), Jonathan (pintor), Cleopa Kaijage (reverendo), Mkono (lider de aldea de pescadores), Maiseli (control de calidad de pescado),","África: Tanzania: Mwanza: Musoma: Lago Victoria.","","Documental","social y medioambiental","Entrevistas, Grabación de campo, Fotografías, Testimonios videorales","Intertítulos, Musicalización","","",""
"MXIM-AV-1-12-99","Documental dividido en tiempos sobre el ataque a la manifestacion estudiantil del 2 de cotubre de 1968","Primer Batallon de paracaidistas, Segundo Escuadron Blindado de reconocimiento, Primer Batallon de infanteria de guardias presidenciales, Cuarenta Batallon de Infanteria, Crisoforo Mazon Pineda","Plaza de las Tres Culturas, Tlaltelolco, Distrito Federal","1968","Documental","","Entrevistas, Registros fílmicos, Fotografías, Hemerografía, Cartografía, Testimonios videorales, Programas de tv, Documentos","Animación, Narración en off, Gráficos","","",""
"MXIM-AV-1-12-100","Documental sobre los tipos de familia que actualmente conforman la realidad social de México: familias uniparentales, familias monoparentales, co-residentes y nucleares. Explicando las problemáticas existencias y la forma de convivencia en cada una de ellas con sus respectivas caracterísiticas.","Guadalupe (madre soltera), José Alberto Campos (hijo de Guadalupe), Ismael y Lorena (padres de familia), Guadalupe y Rosa María (pareja), Hugo e Ismael (hijos de Gadalupe y Rosa María), Ana María y Enrique (pareja y padres), Esteban y Natalia (hermanos), Reyna (hogar unipersonal), Esperanza y Carlos (pareja sin hijos),","México","","Documental","","Entrevistas, Grabación de campo, Fotografías, Testimonios videorales, Dibujos","Narración en off, Intertítulos, Musicalización","","",""
"MXIM-AV-1-12-101","En este video se aborda la cacería de ballenas en el Golfo de Arauco, la que se inicia a principios del siglo XX en la isla Santa María. En esta actividad destaca la familia Macaya, quienes comienzan la caza de manera artesanal, con botes a remo y una precaria infraestructura, para después dar paso a una gran industria con una pequeña planta en Chome y una flota de barcos balleneros. Con el traslado de la ballenera Macaya, desde la isla Santa María a Chome, se funda un pueblo constituido por isleños, el que sobrevive de esta actividad por casi 40 años. Sin embargo, la ballenera cierra en 1983 y el pueblo debe afrontar las múltiples dificultades que esto acarrea.","Amado Macaya, Pedro Chamorro, Francisco Moya, Manuel Flores, Flor Monsalve, Maximilano Jorquera, Ruth Silva,","Chile: Golfo de Arauco: Chome","","Documental","","Entrevistas, Grabación de campo, Ficción, Cartografía, Testimonios videorales","Intertítulos","","VHS",""
"MXIM-AV-1-12-102","Épicas jornadas de lucha y rebeldía vivió el pueblo tucumano. Entre 1969 y 1972 se levantó resuelto a enfrentar a la feroz dictadura de Onganía. Tres Tucumanazos fueron el resultado de la resistencia obrero-estudiantil contra la opresión. Resistencia contra el cierre de los ingenios azucareros. Resistencia contra el cuierre del comerdor universitario. REsistencia contra la dictadura. En mayo del 69, paralelo al Cordobazo \"Tucumán Ardía\" solidarizándose con la lucha nacional. En noviembre del ´70 fue el punto culmine de la lucha contra la dictadura en jornadas que tuvieron en jaque a las fuerzas del orden. En junio del ´72, el Quintazo fue la lógica reacción ante el cierre del comedor universitario y el asesinato de un estudiante salteño. Tres tucumanazos, El Tucumanazo.","Juan Carlos Onganía Carballo (presidente de Argentina, 1966-1970), Carlos Zamorano (militante del partido comunista, ex dirigente estudiantil), Héctor Marteau (ex dirigente estudiantil), Alejandro Schneider (historiador), Lázaro Barbieri (gobernador 1963-66), Roberto Avellaneda (gobernador de facto 1966-69), CArlos Imbaud (gobernador de facto 1970-71), Marcos Taire (Periodista, militante del FAS), Hugo Figueroa (ex obrero del Ingenio San Ramón), \"Chino\" Moya (Partido Socialista de los Trabajadores, ex dirigente estudiantil), Angela Nassif (militante del partido comunista revolucionario, ex dirigente estudiantil), Osvaldo Bayer (periodista-escritor), Emilio Crenzel (sociólogo, escritor), Rubén Leiva (Sindicalista del Ingenio de San Ramón), Coronel Videla, Juan Ferrante (ex cura tercermundista militante del peronismo de base), Amado Dip, David Dip y grupo de párrocos (Movimiento de sacerdotes para el tercer mundo),","Argentina: San Miguel de Tucumán:","1969-1972, 1966 (instauración de la dictadura de Onganía)","Documental","","Entrevistas, Registros fílmicos, Fotografías, Hemerografía, Testimonios videorales, Noticieros fílmicos","Narración en off, Conducción, Intertítulos, Musicalización","","",""
"MXIM-AV-1-12-103","partir de seis casos internacionales, centrados en personajes que actúan en un entorno de resistencia, el director Florian Opitz va desgranando, con humor y a veces dramatismo, las secuelas que deja en una comunidad específica el cambio de régimen de propiedad pública a privada en empresas o servicios. (Sinopsis de la Cineteca Nacional) http://www.cinetecanacional.net/ficha.php?cvePel=6681","Prof. Joseph E. Stiglitz (premio nobel 2001), Oscar Olivera (Coalición por la Defensa del Agua, Bolivia), Trevor Ngwane (Comité de crisis de electricidad, Sudáfrica), Shanta Devarajan (Banco Mundial), Sipho Tjabadi (Directoer general de ESKOM)","Sudáfrica: Soweto. Inglaterra: Brighton. Filipinas: Manila. Bolivia: Cochabamba. Estados Unidos: Washington.","1999 (privatización de ESKOM, proveedor de electricidad en Sudáfrica), 1997 (privatización de British Rail Ways en Inglaterra), 1980 (privatización del sistema de salud en Filipinas), 1999 (privatización del suministro de agua en Bolvia), 1980 (Margater Tatcher inaugura las políticas de privatización), 2002 (ley marcial en Cochabamba)","Documental","Político","Entrevistas, Grabación de campo, Registros fílmicos, Testimonios videorales, Noticieros fílmicos, Publicidad","Animación, Intertítulos, Musicalización","","","Biografía, Entrevista, Galería de fotos, Trailer"
"MXIM-AV-1-12-104","El Tratado de ancón, 1883, que puso fin a la guerra del Pacífico, señaló la cesión perpetua de Tarapacá a favor de Chile. En etsa zona la explotación salitrera continuó, constituyéndose en una importante fuente de trabajo par chilenos, peruanos y bolivianos. Los tarapaqueños peruanos no sólo eran los lugareños que habían conservado su nacionalidad, sino también los migrantes muchas veces enganchados de Puno, Cusaco y Arequipa. Ellos, los tarapaqueños peruanos, fueron aceptados dentro de la comunidad salitrera hasta que por diferentes circunstancias tuvieron que repatrairse. Entre 1907 y 1920 se realizaron estas repatriaciones. La más importante fue entre 1918 y 1920 a consecuencia de la política de chilenización. Los peruanos fueron expulsados violentamente y debieron viajar a Lima dejando familia y bienes en Tarapacá. Ellos regresaban a la patria por ser peruanos, pero paradójicamente aquí fueron mal recibidos: la población los consideraba chilenos y el término \"repatriado\" empezó a ser un insulto. Pese a todo, ellos se quedaron y desde la década del cincuenta viven en la Urbanización Tarapacá, Callao. Esta historia empezó a reconstriurse a partir de fuentes escritas pero sobre todo con el testimonio de los propios protagonistas de los hechos. Ellos son quienes en este video nos narran su propia historia de amor patrio.","Francisco Ariste (tarapaqueño peruano), Alejandro Caballero (tarapaqueño peruano), María Luza (tarapaqueña peruana), Josefina Bernal (tarapàqueña peruana), Ana Luisa González (tarapaqueña peruana), Olga Chirinos (tarapaqueña peruana), Isidoro Gamarra (tarapaqueño peruano), Eva Ossio (tarapaqueña peruana), Emma Soto (tarapaqueña peruana), Olga Contreras (tarapaqueña peruana), A.B. Leguía (1919-1930), Juana Duarte (tarapaqueña peruana), Manuel Torres (tarapaqueño),","Perú: Lima. Chile","","Documental","","Entrevistas, Fotografías, Hemerografía, Testimonios orales, Dibujos","Narración en off, Conducción","","",""
"MXIM-AV-1-12-105","https://www.youtube.com/watch?v=sTSUOHmDRw8","José Agustín (conductor de programa), Manuel Ávila Camacho, Lázaro Cárdenas, almazán, Vicente Lombardo Toledano, Indio Fernández, María Félix, Pedro armendáriz, Cantinflas, Jorge Negrete, Dolores del Río, Agustín Lara, Lucha Reyes, Gabilondo Soler, Diego Rivera, Siqueiros, Octavio Paz, José Revueltas, Villaurrutia, Gorostiza, Salvador Novo, José Vasconcelos, Silvestre Revueltas, Carlos Chávez, Gonzalo M. Santos, Maximino Ávila Camacho, Ezequiel Padilla, Miguel Alemán, Fidel Velázquez, Jesús Díaz de León \"El Charro\", pedro Infante, TinTan, Los Panchos, Frida Kahlo, Rufino Tamayo, Luis Buñuel, El SAnto, Adolfo Ruiz Cortines, Miguel Enriquez Guzmán, Efraín González Luna, José Alfredo Jiménez, Jacinto López, Othón Salazar, Demetrio Vallejo, Adolfo López Mateos","México","1940-1958","Documental","","Ficción, Registros fílmicos, Fotografías, Hemerografía, Cartografía, Publicidad, Música de época, Documentos","Animación, Narración en off, Conducción","","",""
"MXIM-AV-1-12-106","https://www.youtube.com/watch?v=10TupH82Kfg&list=PLHXFQrHFFd_Xk52bCSOwgk8IBhyM7KdCj&index=7","José Agustín (conductor de programa), José López Portillo, Jesús Reyes Heroles, Gustavo Díaz Ordaz, Luis Echeverría, Miguel de la Madrird, Javier García Paniagua, Jorge Díaz Serrano, Carlos Salinas de Gortari, Arturo Durazo, Joaquiín Hernández \"La Quina\" Galicia, Cuauhtémoc Cárdenas, Porfirio Muñoz Ledo, Enrique Camarena, Manuel Buendía, Manuel Clouthier, Jorge Carpizo, Eduardo Legorrerta, Carlos Jongitud, Elba Esther Gordillo, Bill Clinton, Carlos Slim, Ricardo Salinas Pliego, Luis Donaldo Colosio, Camacho Solís, Juan José Posadas, EZLN, José Códoba, Ernesto Zedillo, Diego Fernández de Cevallos, José Francisco Ruiz Massieu","México","1976-1994","Documental","","Ficción, Registros fílmicos, Fotografías, Hemerografía, Documentos","Animación, Incidentales, Narración en off, Conducción, Musicalización","","",""
"MXIM-AV-1-12-107","En noviembre del 2003, se encontró el cuerpo de Zacarias Barrientos acribillado, cerca de la ciudad de Atoyac, en el estado de Guerrero, México. Un mes más tarde, cinco vecino fueron detenidos y rápidamente condenados por homicidio. Hoy en día siguen clamando su inocencia. ¿Quién era Zacarias Barrientos? ¿Porqué tanta gente quería su muerte? ¿Cuál fue su papel durante la Guerra Sucia de los setentas, cuando el ejercito mexicano decidió acabar con la guerrilla de Lucio Cabañas? ¿Cuál es este secreto que se llevó con él?","Zacarias Barrientos Peralta (testigo de la guerra sicua), Elisabet Ramos (vecina de Zacarias Barreitnos), Doña Peralta (madre de Zacarias), Mariana Ramírez (fiscalía), Alberto Ramos (vecino de Zacarias), Dr. Ojeda (médico forense), Víctor Cardona (periodista), Sr. Loyo Malabar (juez), Benito Salgado (acusado de asesinar a Zacarias), Isaías Martínez (acusado de asesinar a Zacarias), Sr. Cabaás (abogado defensor), María Martínez (esposa de Zacarias), Tita Radilla (hija de Rosendo Radilla, desaparecido en la guerra sucia), Lucio Cabañas, Acosta Chaparro, Coronel Varillo Trejo, Fritz Glockner (escritor), Paco Ignacio Taibo II (escritor), Luis Echeverría (presidente de México, 1970-1976), Josafat Quiroz (ex guerrillero), Guillermina Cabañas (ex guerrillera), rubén Figueroa (gobernador de Guerrero), Gustavo Díaz Ordaz (presidente de México, 1964-1970), Acosta Chaparro, Chiro Galeana (policia judicial Guerrero), Nazar Haro (ex director de DFS), Misael Martínez (desaparecido en la guerra sucia), Marcelo Serafín Flores (desaparecido en la guerra sucia), Vicente Fox (presidente de México, 2000-2006), Sr. Carrillo P. (fiscalía),","México: Guerrero: Atoyac: El Quemado, Rincón de las Parotas. Acapulco: Pie de la Cuesta.","1960, 2003, 1974 (asesinan a Lucio Cabañas), 1965, 1978.","Documental","","Entrevistas, Grabación de campo, Registros fílmicos, Fotografías, Hemerografía, Testimonios orales, Testimonios videorales","Incidentales, Narración en off, Intertítulos, Musicalización","","",""
"MXIM-AV-1-12-108","La muerte violenta de la defensora de derechos humanos Digna Ochoa, el 19 de octubre de 2001, fue la culminación de cinco años de amenazas directas contra esta abogada. A la torpe reacción gubernamental que se manifestó en las semanas que sigueron al trágico suceso, le siguió el fallo de la justicia el Distrito Federal que, dos años más tarde, determinó que en el Caso Digna Ochoa no había delito que perseguir ya que la abogada se habría suicidado. El documental Digna Ochoa, producido por canalseisdejulio, describe con sobriedad estos hechos, presenta la única entrevista realizad a Digna Ochoa y refuta, con base en una cuidadosa investigación, la tesis oficial del suicidio. (sinopsis al reverso del material)","Digna Ochoa y Plácido, Norma Corona, Edgar Cortez, Víctor Brenes, Pilar Noriega, Rodolfo Montiel, Teodoro Cabrera, Mary Robinson, Vicente Fox, Jesús Maldonado, Santiago Creel, Renato Sales Heredia, Enrique Flota, Linda Diebel, Raúl Benet, Margarita Guerra, Oscar Lozano, David Fernández, Jesús Ochoa, Valentín Islas Pérez, José Antonio Becerril, Rogaciano Alba Álvarez, Rubén Figueroa Alcocer, Nicolás Martínez Sánchez, Gustavo Zárate Martínez, Harald Ihmig, Roberto Cabrera, Felipe Arriaga,","México: Guerrero: Petatlán. Sinaloa, Chihuahua, Oaxaca.","1980, 1990, 1992, 1999, 2000, 2001, 2002, 2003, 2004","Documental","","Entrevistas, Fotografías, Hemerografía, Cartografía, Testimonios videorales, Documentos, Registros videográficos","Animación, Narración en off, Conducción, Musicalización","Version actualizada","",""
"MXIM-AV-1-12-109","Visionarios y audaces, los empresarios mexicanos de principios del siglo XX fueron capaces de retar a su entorno y transformarlo para construir el futuro de una nación aún joven. Gracias a ellos, México empieza a modernizarse: sus industrias se multiplican y su sociedad se adapta al paso acelerado que le exige el nuevo crecimiento. Los empresarios, modernos capitanes, dirigen la industria en la travesía accidentada de colocar al país y a los mexicanos a la par de su siglo.","Porfirio Díaz, Olegario Mouna (hacendado henequén, 1902-1908), Vicente Albino Rojas (productor de mezcal), José Cuervo (productor de tequila), Cenobio Sauza (prodctor de tequila, Tequila Sauza), Guillermo Romo de la Peña (Tequila Herradura), Adrián Layú (planta ensambladora de autos), Rodolfo Patrón (empresario de Yucatán, creador de Resistol a partir de almidón de yuca, 1941), Roger Patrón (Industrias Adhesivos Resistol), Adolfo Patrón (Industrias Resistol), Lorenzo Servitje (fundador de Bimbo), Lázaro Cárdenas (nacionaliza el petróleo y se crea PEMEX), Manuel Ávila Camacho (rescata industrias quebradas), Manuel Alemán, Adolfo Ruiz Cortines (política de compra de empresas abandonadas por capital privado), Adolfo López Mateos (aumentó inversión pública), Luis Echeverría ( 1972, mexicaniza el tabaco: Tabamex), Aurelio López Núñez (fabricante de zapatos), Salvador López (moderniza el taller de Aurelio López y crea Calzado Canadá), Alberto Santos de Hoyos (Gamesa), Lorenzo Zambrano (Cemex), Alberto Santos Gonzálalez (fundan fábrica de galletas Gamesa), CArlos Salinas de Gortari (1989, abre las puertas al capital extranjero), Miguel de la Madrid (presidente México, 1982-1988), Jaime Serra Puche (Secretario de Comercio y Fomernto Industrial),","México: Ciudad de México, Monterrey. Yucatán. Guadalajara.","1977 (único titular de la denominación Tequila), 1944 (Vallejo se declara zona industrial), 1945 (se crea Bimbo), 1955 (Calzado Canadá es la primera productora de zapatos más grande de todo el país)","Documental","","Entrevistas, Grabación de campo, Ficción, Registros fílmicos, Fotografías, Hemerografía, Testimonios orales, Testimonios videorales, Publicidad, Registros videográficos","Narración en off, Conducción, Musicalización, Gráficos","","",""
"MXIM-AV-1-12-110","Por todas partes en Francia, Agnès Varda ha encontrado cosechadores, espigadores y pepenadores. Por necesidad, azar o elección, ellos están en contacto entre sí viviendo de los objetos y productos que recolectan.  A través de la lente sensible de Agnès Varda descubrimos ese universo que es realmente sorprendente. Nos encontramos lejos de los recolectores de antaño que recogían las espigas de trigo después de la cosecha. Papas, jitomates y otros alimentos desechados, objetos sin amo y péndulos sin manecillas, esa es la cosecha de nuestro tiempo. Agnès Varda es también la cosechadora del título y su documental es una mirada muy personal a ese mundo desconocido. La curiosidad no tiene edad. La filmación es también cosecha.","Agnes Varda,","Francia","","Documental","","Grabación de campo, Testimonios videorales","Narración en off, Musicalización","","",""
"MXIM-AV-1-12-111","LA OBRA, ESCRITA POR DOS PERIODISTAS, DENUNCIA DE FORMA OBJETIVA Y VERAZ LA DIMENSIÓN SOCIAL QUE HA ALCANZADO EL PROBLEMA DE LA PORNOGRAFÍA INFANTIL Y REVELA LA CADENA DE DELINCUENCIA QUE FACILITA, PERMITE Y FORTALECE ESTE DELITO ALREDEDOR DEL MUNDO, PARTICULARMENTE EN MÉXICO Y EN ESPECIAL EN SUS FAMOSOS CENTROS TURÍSTICOS, PROTEGIDOS DE LAS AUTORIDADES EN UN REFUGIO PARA VÍCTIMAS DEL DELITO DE UNA ONG EN CANCÚN, LOS MENORES DENUNCIAN LOS HECHOS QUE, CONTRA TODA PREDICCIÓN PRUEBAN LOS DELITOS ANTE LA PROCURADURÍA GENERAL DE JUSTICIA. http://gandih.com.mx/index.cfm/id/Producto/dept/Libros/pid/267177","Claudia Fronjosa, Fernando Espinoza de los Reyes, Tonatiuh Montiel, Verenice Góngora, Araceli Andrade, Jorge Zepeda, Celia Sánchez, Carmen Aristegui, Alfredo Jalife Rahme, Julio Glockner, Edith Encalada, Jean Succar Kuri \"El Johny\", Gloria Pita, Blanca Laura Villeda Martínez, Hubert Guez, Kamel Nacif Borge, Andrés Becerril, Lydia Cacho Ribeiro, Blanche Petrich, Martín Barrios, Gastón de la Luz, Rodrigo Hernández, Xavier Olea, Edith Rosales, \"Juanito\" Nakad, Mario Marín Torres, Valentín Meneses Rojas, Margarita Luna, Juan Silva Meza, Wenceslao Cisneros","Cancún, Quintana Roo, D. F., Puebla, Tehuacán, Zócalo Ciudad de México,","2004-2007","Documental","","Entrevistas, Grabación de campo, Registros fílmicos, Fotografías, Hemerografía, Cartografía, Testimonios orales, Testimonios videorales, Noticieros fílmicos, Programas de tv, Videoclips, Multimedia, Documentos, Registros videográficos","Puesta en escena, Animación, Incidentales, Gráficos","","",""
"MXIM-AV-1-12-112","Un gran documental hecho por TV Española en el que se van redescubriendo las aportaciones del llamado \"Nuevo mundo\", es decir, América, en cuanto a economía, gastronomía y cultura en general se refiere. Un espléndido recorrido por las diferentes culturas americanas que desde siempre han hecho del continente algo enigmático y misterioso para el mundo occidental europeo, valorándose históricamente cada uno de sus legados.","","","","Documental","","Grabación de campo, Grabados","Animación","","VHS",""
"MXIM-AV-1-12-113","Los ladrones viejos. Las leyendas del artegio es la historia de una generación de ladrones que alcanzaron sus mayores éxitos en los 60s, de los códigos de conducta y ética que los caracterizaron, de las diversas “categorías” de delincuentes que poblaron las calles de la ciudad, de las alianzas con los mandos policíacos que les permitieron salir adelante, de las traiciones que las siguieron y de el precio que finalmente pagaron por ello.","Jorge Calva Marquez (a) Fantomas, \"flaco la sota\", el Chacal, \"el América\", Efraín el Mocho, Efraín Alcaráz Montes de Oca (a) el Carrizos, Aurelio el Conejo, Tte. Mauro Morales, Sgto. Marco Villareal, Juan Galindo García (a) el chino, Rafael Infante o José Rodríguez Torres \"el Cuatro Vientos\", Francisco Gonzalez Suarez (a) el Dandy, \"Dedos de seda\", Eberto Rodríguez Acevedo (a) el Elotes, \"El Chato Alfonso\" Enrico Sanprieto, Salvador Escudero, Manuel Santillan, Alfonso Rocha, Jorge Téllez Guirón Ramirez (a) el Dracula, Ruben Chacon Fernández, Esperanza Piña de Arcarz, Arturo durazo Moreno, Eliseo Salinas, Arcadio Ocampo Anguiana (a) Xochi, Adolfo López Montes","Desierto de los Leones, Cuernavaca, México, Distrito Federal, Area Metropolitana, Ciudad de México, Calle 25 colonia Progar, salón el Polvorin, \"el Clavel\", \"el Vampiro\", Puebla, Veracruz, Magdalena Contreras, Merced, El Periferico, El Pedregal, Polanco, Las lomas, San Jeronimo, Sotano de Tlaxcoaque, Penitenciaria de Lecumberri, Reclusorio Sur, Satelite, Residencial Bulevares, Colina de la Rumorosa,","Decada de los 60","Documental","","Entrevistas, Grabación de campo, Registros fílmicos, Fotografías, Hemerografía, Testimonios videorales, Programas de tv","Narración en off, Musicalización","","",""
"MXIM-AV-1-12-114","En 1937 llegaron a la ciudad de Morlia 456 niños españoles. Venían con una maleta en la mano y la promesa de regresar con sus padres en cuanto terminara la guerra civil, misma que pensaban, ganaría la causa republicana. Pero la guerra se perdió. Y los niños envejecieron solos, lejos de casa. Solamente seis de ellos continúan viviendo en Morelia. Este documental registra su historia, 23, 926 días después.","Lázaro Cárdenas (presidente de México, 1934-1940), Manuel Azaña Díaz (presidente de la República Española, 1936-1939), Emeterio Payá Valera (inmigrante español), José Rius Rodríguez (inmigrante español), Martina Benedet Gironés (inmigrante español), Acacio González Perujo (inmigrante español), José Dobla Vázquez (inmigrante español), Vicente Carrión Fos (inmigrante español), Francisco FRanco (presidente de España de facto, 1936-1947), Manuel Ávila Camacho (presidente de México, 1940-1946), Eduardo Chávez (inmigrante español), José Ramírez (inmigrante español), José Inés Estrada (inmigrante español), Idolina de Dobla (inmitante española),","México: Veracruz. Puebla. Michoacán: Morelia. España: Barcelona, Zaragoza, Málaga, Valencia, Madrid. Francia: Burdeos.","1937 (llegan niños españoles a México)","Documental","","Entrevistas, Grabación de campo, Fotografías, Hemerografía, Testimonios videorales, Documentos, Registros fonográficos","Incidentales, Narración en off, Intertítulos","","",""
"MXIM-AV-1-12-115","Una película sobre la peregrinación que hace el pueblo wixaritari a Wirikuta.","","México: San Luis Potosi: Coahmiata, Wirikuta","2004","Documental","","Entrevistas, Grabación de campo, Cartografía, Testimonios orales, Testimonios videorales, Música de época","Animación, Narración en off, Musicalización","","16 mm",""
"MXIM-AV-1-12-116","Esta la es la reedición y actualización del video documental que La Jornada y canalseisdejulio presentaron en 2004 en una crónica de 10 años del movimiento zapatista, desde la irrupsción pública del Ejército Zapatista de Liberación Nacional, el 1 de enero de 1994. Ahora, canalseisdejulio se da a la tarea de poner ald ía esta síntesis histórica de uno de los acontecimientos más importantes del México contemporáneo. El documental incluye imágenes desgarradoras de la guerra entre el EZLN y el Ejército Mexicano, entrevistas exclusivas con el Subcomandante Marcos y otros Comandantes zapatistas, la intensa militarización en el estado de Chiapas, con el trágico desenlace de la matanza de Acteal, así como las movilizaciones pacíficas convocadas por los zapatistas. La nueva versión contiene un fragmento de una entrevista exclusiva con un exparamilitar de Paz y Justicia e imágenes de las comunidades autónomas, la Otra Campaña, el contexto político electoral del 2006, y la militarización que actualmente se vive en todo el país. Zapatistas: crónica de una rebelión, es un docuemntal que conjunta los momentos más importantes en la historia pública del EZLN, la reacción del gobierno mexicano, de la sociedad civil necional e internacional, consigna la dignidad de los indígenas mexicanos y la legitimidad de sus luchas. (sinopsis al reverso del material)","Carlos Salinas de Gortari, Subcomandante Marcos, Absalón Castellanos Dominguez, Samuel Ruiz, Manuel Camacho, Luis Donaldo Colosio, Ernesto Zedillo, Comandante Tacho, Antonio Lozano Gracia, Camandanta Ramona, Pablo Salazar, Javier López. Roberto robledo, Julio César Ruiz Ferro, Gral. Mario Renan Castillo Fernández, Mariano Luna Ruiz, Roberto Pérez, Emilio Chuayffet, Francisco Labastida, Vicente Fox, Pablo Salazar Mendiguchía, Felipe Calderón, José López Sánchez, Comandante David, Andrés Manuel López Obrador, Cuauhtémoc Cárdenas,","México: Chiapas: San Cristóbal de las Casas, Tuxtla Gutiérrez, Chanal, Ocosingo, Altamirano, Las Margaritas, Guadalupe Tepeyac, San Andrés, La Realidad, Acteal, Oventic. Ciudad de México: Zócalo, San Salvador Atenco. Oaxaca.","1, 2, 3, 6, 16 enero 1994. 17, 20 febrero, Marzo 1994, Agosto 1994, 1, 19 diciembre 1994, 9 febrero 1995, 11 marzo 1995, junio 1995, febrero 1996, septiembre 1996, noviembre 1997, diciembre 1997, enero 1998, 2 julio 2000, 21 diciembre 2000, 24 febrero 2001, 11, 22, 28 marzo 2001, 25 abril, 2001. 2002, agosto 2003, junio 31, diciembre 2005, mayo, julio, noviembre 2006","Documental","","Cartografía, Testimonios videorales, Noticieros fílmicos, Publicidad, Registros fonográficos, Registros videográficos","Animación, Narración en off, Conducción, Intertítulos, Musicalización","","","Escenas borradas de la versión 2004, Avamce Zapatista, Entrevistas con periodistas de La Jornada"
"MXIM-AV-1-12-117","\"Los super amigos\" es el nombre de un negocio de rótulos y anuncios gráficos que reúne a gente de distintos extractos socioculturales en que confluyen diversas experiencias y formas de ver la vida. Ingredientes que hacen de este lugar un ejemplo de lo que son los puntos de choque cultural entre las personas de distinto origen que sobreviven en la gran selva de asfalto, en que se centraliza todo, absolutamente todo.","","","","Documental","","Entrevistas, Grabación de campo","Musicalización","","VHS",""
